,id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
47911,47912,9e-06,ddp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,Backdoor,1
47912,47913,9e-06,ipv6-frag,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,2,7,0,Backdoor,1
47913,47914,9e-06,cftp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0,Backdoor,1
47914,47915,3e-06,wsn,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,7,0,0,0,2,6,0,Backdoor,1
47915,47916,8e-06,pvp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,11,4,0,Backdoor,1
47916,47917,5e-06,wb-expak,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,4,0,0,0,19,3,0,Backdoor,1
47917,47918,8e-06,mtp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,11,6,0,Backdoor,1
47918,47919,5e-06,pri-enc,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,1,1,5,0,0,0,9,5,0,Backdoor,1
47919,47920,8e-06,sat-mon,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,7,0,0,0,2,6,0,Backdoor,1
47920,47921,2e-06,cphb,-,INT,2,0,200,0,500000.0013,254,0,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,7,0,0,0,2,6,0,Backdoor,1
47921,47922,8e-06,sun-nd,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,10,4,0,Backdoor,1
47922,47923,3e-06,iso-ip,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,4,0,0,0,19,3,0,Backdoor,1
47923,47924,9e-06,xtp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,Backdoor,1
47924,47925,9e-06,il,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,Backdoor,1
47925,47926,4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,4,5,0,Backdoor,1
47926,47927,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,6,0,0,0,2,5,0,Backdoor,1
47927,47928,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,4,3,3,6,0,0,0,21,5,0,Backdoor,1
47928,47929,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,10,0,0,0,4,9,0,Backdoor,1
47929,47930,3e-06,mfe-nsp,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Backdoor,1
47930,47931,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,3,3,3,10,0,0,0,9,9,0,Backdoor,1
47931,47932,9e-06,3pc,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,Backdoor,1
47933,47934,9e-06,ipv6-route,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,2,7,0,Backdoor,1
47934,47935,3e-06,idrp,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,1,1,1,7,0,0,0,1,7,0,Backdoor,1
47935,47936,3e-06,bna,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,1,5,0,Backdoor,1
47937,47938,7e-06,swipe,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0,Backdoor,1
47939,47940,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,5,7,0,Backdoor,1
47943,47944,9e-06,kryptolan,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,4,3,3,6,0,0,0,13,6,0,Backdoor,1
