,id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
48813,48814,1.3e-05,udp,-,INT,2,0,240,0,76923.07779,254,0,73846152.0,0.0,0,0,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
48820,48821,0.199274,tcp,-,FIN,10,6,610,268,75.273241,254,252,22040.00391,8992.643555,2,1,20.981444,36.781398,1288.606614,62.243359,255,2493595316,3424460037,255,0.026876,0.015364,0.011512,61,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
48885,48886,4e-06,udp,-,INT,2,0,392,0,250000.0006,254,0,392000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,196,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
48918,48919,9e-06,udp,-,INT,2,0,352,0,111111.1072,254,0,156444432.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,176,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Shellcode,1
48942,48943,8e-06,udp,-,INT,2,0,142,0,125000.0003,254,0,71000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,71,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,Shellcode,1
49019,49020,1.030446,tcp,-,FIN,10,8,748,354,16.49771,254,252,5232.685547,2406.724854,2,1,111.360556,129.81343,6773.400111,195.755203,255,1230165788,3335903038,255,0.253636,0.121743,0.131893,75,44,0,0,2,1,1,1,1,1,0,0,0,2,3,0,Shellcode,1
49050,49051,0.467847,tcp,-,FIN,10,6,840,268,32.061764,254,252,12927.30371,3830.312012,2,1,48.953111,79.002,2587.133724,114.566289,255,774335187,4206423350,255,0.186458,0.072832,0.113626,84,45,0,0,1,1,2,1,1,1,0,0,0,1,5,0,Shellcode,1
49108,49109,7e-06,udp,-,INT,2,0,212,0,142857.1409,254,0,121142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,106,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,Shellcode,1
49290,49291,0.665002,tcp,-,FIN,10,8,584,354,25.563833,254,252,6327.800781,3729.312256,2,1,73.889111,81.486711,4094.819969,145.274984,255,3482035338,1335380140,255,0.145205,0.082977,0.062228,58,44,0,0,5,1,1,1,1,1,0,0,0,2,2,0,Shellcode,1
49367,49368,4e-06,udp,-,INT,2,0,196,0,250000.0006,254,0,196000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,98,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
49381,49382,5e-06,udp,-,INT,2,0,754,0,200000.0051,254,0,603200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,377,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
49533,49534,9e-06,udp,-,INT,2,0,336,0,111111.1072,254,0,149333328.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,168,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
49602,49603,0.177158,tcp,-,FIN,10,6,892,268,84.670182,254,252,36261.41797,10115.26465,2,1,18.208111,34.086,978.403853,58.399195,255,1763264700,1373874019,255,0.050406,0.006725,0.043681,89,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
49619,49620,0.185279,tcp,-,FIN,10,6,536,268,80.958988,254,252,20855.03516,9671.900391,2,1,18.862556,35.689199,1003.42469,59.757023,255,2956394799,4262330098,255,0.05501,0.006824,0.048186,54,45,0,0,1,1,2,1,1,1,0,0,0,1,2,0,Shellcode,1
49652,49653,0.18326,tcp,-,FIN,10,6,740,268,81.850925,254,252,29073.44922,9778.457031,2,1,18.722667,35.343398,997.8352,59.927914,255,1838415852,2344116140,255,0.059736,0.00654,0.053196,74,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
49679,49680,9e-06,udp,-,INT,2,0,322,0,111111.1072,254,0,143111104.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,161,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
